iter	Logloss
0	0.6385836622
1	0.595735338
2	0.5625384488
3	0.5358308818
4	0.5139398804
5	0.4967331662
6	0.4839676056
7	0.4729591098
8	0.4645213284
9	0.4570959083
10	0.4517482537
11	0.4474846412
12	0.4441060469
13	0.4410164185
14	0.4379990099
15	0.435614797
16	0.4339346313
17	0.4321476813
18	0.4307666338
19	0.4295883484
20	0.4282930671
21	0.427430052
22	0.4265489299
23	0.4259109802
24	0.4252688819
25	0.4243391893
26	0.4235192888
27	0.4227950117
28	0.4222599114
29	0.4215182682
30	0.421022934
31	0.4204977349
32	0.4200984667
33	0.4195636376
34	0.4190965508
35	0.4186631131
36	0.4183655752
37	0.4179156748
38	0.4174699826
39	0.4170890689
40	0.4168270416
41	0.4166185015
42	0.4163260057
43	0.4158903809
44	0.4156725464
45	0.4154964413
46	0.4151296912
47	0.4149075928
48	0.4145752716
49	0.4141706221
50	0.41391775
51	0.4136477882
52	0.4133723111
53	0.413179228
54	0.4128361359
55	0.4127627394
56	0.4124521688
57	0.4121078169
58	0.4117747871
59	0.4115041419
60	0.4114060432
61	0.4111001773
62	0.4108900367
63	0.4106687113
64	0.4104607527
65	0.4101104991
66	0.4097734019
67	0.4096147936
68	0.409322737
69	0.4089260084
70	0.4086199019
71	0.4082764621
72	0.4080209927
73	0.4078844333
74	0.4075498318
75	0.4073146549
76	0.4070158064
77	0.4065991855
78	0.406346205
79	0.4061380581
80	0.4059717322
81	0.4056905535
82	0.4054291195
83	0.4052392799
84	0.4050704787
85	0.4047920431
86	0.4045432349
87	0.4042387678
88	0.4038356764
89	0.4035395677
90	0.4031500414
91	0.4027440542
92	0.4025387387
93	0.4023046858
94	0.4019131826
95	0.4016399672
96	0.401359553
97	0.4011760763
98	0.4009331021
99	0.4006883036
100	0.4003854506
101	0.4000973697
102	0.3998700324
103	0.3995783403
104	0.3993158162
105	0.3990538466
106	0.398698527
107	0.3984231415
108	0.3981788686
109	0.3977994249
110	0.3974563395
111	0.3971170654
112	0.3968818037
113	0.3966792433
114	0.3964996982
115	0.3961722022
116	0.3958681556
117	0.3955626746
118	0.3952824995
119	0.3950321638
120	0.3947306942
121	0.3943488007
122	0.3941279772
123	0.3937878435
124	0.3935762872
125	0.3933024733
126	0.3931149343
127	0.392981252
128	0.3927942895
129	0.3925509321
130	0.3922877469
131	0.3920761108
132	0.3917836677
133	0.391432329
134	0.3912242567
135	0.3909557478
136	0.3906962297
137	0.3904521264
138	0.3902189365
139	0.3899334005
140	0.3895738881
141	0.3892753126
142	0.3890321045
143	0.3887797885
144	0.3885601858
145	0.3884221971
146	0.3882648349
147	0.3880687968
148	0.3878335419
149	0.3875535109
150	0.387179813
151	0.3869611206
152	0.3868305342
153	0.3865400475
154	0.3862813636
155	0.3860315382
156	0.3858099179
157	0.3855774485
158	0.3853053809
159	0.3850405596
160	0.3847042881
161	0.3844381341
162	0.3840550944
163	0.3838284014
164	0.3837454783
165	0.3834936015
166	0.3832803362
167	0.3830323385
168	0.3828491737
169	0.3826482442
170	0.3824274495
171	0.3822215457
172	0.3820531074
173	0.3818021884
174	0.3816142222
175	0.3814453684
176	0.3811036563
177	0.3809810672
178	0.3807818163
179	0.38052958
180	0.3803098602
181	0.3801136356
182	0.3799755741
183	0.3797215949
184	0.3794625244
185	0.3791315969
186	0.3789519687
187	0.3787573649
188	0.3786136085
189	0.3783713718
190	0.3780573493
191	0.3778551364
192	0.3776417762
