iter	Passed	Remaining
0	173	173194
1	179	89463
2	185	61498
3	189	47202
4	193	38602
5	199	32993
6	203	28861
7	208	25835
8	213	23539
9	218	21650
10	222	20018
11	226	18646
12	230	17494
13	234	16494
14	238	15650
15	242	14893
16	245	14207
17	249	13635
18	253	13101
19	257	12606
20	260	12158
21	264	11761
22	268	11396
23	272	11064
24	275	10749
25	279	10478
26	283	10210
27	286	9959
28	290	9727
29	294	9514
30	297	9310
31	301	9121
32	304	8934
33	308	8762
34	312	8604
35	316	8462
36	319	8312
37	322	8171
38	326	8040
39	330	7933
40	333	7811
41	337	7695
42	340	7587
43	345	7505
44	349	7408
45	352	7308
46	356	7220
47	359	7133
48	363	7054
49	367	6973
50	370	6892
51	374	6825
52	378	6764
53	382	6695
54	385	6629
55	389	6563
56	393	6502
57	396	6444
58	400	6386
59	404	6332
60	407	6279
61	411	6229
62	415	6178
63	419	6130
64	422	6083
65	426	6039
66	431	6009
67	435	5970
68	439	5925
69	442	5881
70	446	5843
71	450	5801
72	453	5760
73	457	5718
74	460	5683
75	464	5647
76	468	5611
77	471	5576
78	475	5542
79	479	5508
80	483	5483
81	486	5450
82	490	5421
83	494	5391
84	497	5359
85	501	5328
86	504	5297
87	508	5267
88	512	5244
89	515	5215
90	519	5186
91	522	5159
92	526	5134
93	530	5109
94	533	5083
95	537	5058
96	540	5033
97	544	5011
98	548	4988
99	551	4963
100	554	4939
101	558	4919
102	562	4897
103	565	4874
104	569	4851
105	572	4832
106	576	4814
107	580	4793
108	584	4773
109	587	4755
110	592	4744
111	596	4729
112	600	4711
113	603	4692
114	607	4673
115	611	4656
116	614	4638
117	618	4620
118	621	4604
119	625	4589
120	629	4573
121	633	4562
122	637	4545
123	641	4530
124	644	4514
125	648	4497
126	651	4480
127	655	4462
128	658	4448
129	662	4431
130	665	4417
131	669	4401
132	673	4387
133	676	4373
134	680	4359
135	684	4345
136	687	4333
137	691	4322
138	695	4308
139	699	4293
140	702	4279
141	706	4266
142	710	4255
143	713	4243
144	717	4231
145	721	4217
146	725	4208
147	728	4194
148	732	4183
149	736	4171
150	740	4163
151	760	4243
152	764	4232
153	769	4229
154	774	4222
155	778	4212
156	782	4200
157	786	4188
158	789	4178
159	793	4165
160	796	4152
161	800	4140
162	804	4131
163	808	4119
164	811	4106
165	814	4094
166	818	4082
167	822	4072
168	825	4060
169	829	4047
170	832	4036
171	836	4024
172	839	4013
173	843	4003
174	846	3992
175	850	3982
176	854	3975
177	858	3963
178	862	3954
179	865	3944
180	869	3934
181	873	3924
182	876	3912
183	880	3902
184	883	3893
185	887	3885
186	891	3875
187	895	3867
188	899	3858
189	903	3849
190	906	3840
191	910	3830
192	913	3820
