dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,,1,0.0,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-15T10:55:05.532003
uci,,1,0.0,5,0.8108333333333333,0.7789395929095392,0.791402932999722,0.8108333333333333,2025-09-15T10:55:05.574160
uci,,1,0.0,6,0.8071666666666667,0.7839334048990594,0.7853035974511213,0.8071666666666667,2025-09-15T10:55:05.616479
uci,,1,0.0,7,0.8058333333333333,0.7766946873744434,0.7828165793052735,0.8058333333333333,2025-09-15T10:55:05.662377
uci,,1,0.0,8,0.7993333333333333,0.7732003845990643,0.7738383307250913,0.7993333333333333,2025-09-15T10:55:05.712496
uci,,1,0.1,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T10:55:05.753002
uci,,1,0.1,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T10:55:05.795153
uci,,1,0.1,6,0.8066666666666666,0.7832146979178568,0.7845792985549398,0.8066666666666666,2025-09-15T10:55:05.838680
uci,,1,0.1,7,0.8133333333333334,0.7916998621507781,0.7938794232867985,0.8133333333333334,2025-09-15T10:55:05.885354
uci,,1,0.1,8,0.8056666666666666,0.7860569882686085,0.7845563231166018,0.8056666666666666,2025-09-15T10:55:05.935195
uci,,1,0.2,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T10:55:05.975514
uci,,1,0.2,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T10:55:06.016816
uci,,1,0.2,6,0.8066666666666666,0.7832146979178568,0.7845792985549398,0.8066666666666666,2025-09-15T10:55:06.061044
uci,,1,0.2,7,0.8133333333333334,0.7916998621507781,0.7938794232867985,0.8133333333333334,2025-09-15T10:55:06.108112
uci,,1,0.2,8,0.8056666666666666,0.7860569882686085,0.7845563231166018,0.8056666666666666,2025-09-15T10:55:06.157692
uci,,1,0.3,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T10:55:06.197680
uci,,1,0.3,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T10:55:06.239030
uci,,1,0.3,6,0.8066666666666666,0.7832146979178568,0.7845792985549398,0.8066666666666666,2025-09-15T10:55:06.283012
uci,,1,0.3,7,0.8133333333333334,0.7916998621507781,0.7938794232867985,0.8133333333333334,2025-09-15T10:55:06.330418
