dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,5,1,0.0,4,0.7863333333333333,0.7423704769774352,0.748898500861322,0.7863333333333333,2025-09-15T10:55:21.100795
uci,5,1,0.0,5,0.7835,0.7375478111065227,0.7430369781148733,0.7835,2025-09-15T10:55:21.147516
uci,5,1,0.0,6,0.7866666666666666,0.7446780146772726,0.7499701328057647,0.7866666666666666,2025-09-15T10:55:21.187762
uci,5,1,0.0,7,0.7868333333333334,0.747850378920384,0.7511043481523113,0.7868333333333334,2025-09-15T10:55:21.227896
uci,5,1,0.0,8,0.7848333333333334,0.7411285410307418,0.7461916545439852,0.7848333333333334,2025-09-15T10:55:21.269893
uci,5,1,0.1,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T10:55:21.305270
uci,5,1,0.1,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-09-15T10:55:21.343458
uci,5,1,0.1,6,0.7848333333333334,0.7468206556105906,0.7481616392134635,0.7848333333333334,2025-09-15T10:55:21.382090
uci,5,1,0.1,7,0.7845,0.7322918874229739,0.7437468099009148,0.7845,2025-09-15T10:55:21.423859
uci,5,1,0.1,8,0.785,0.7466489489627787,0.7482980400825487,0.785,2025-09-15T10:55:21.468379
uci,5,1,0.2,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T10:55:21.504348
uci,5,1,0.2,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-09-15T10:55:21.542546
uci,5,1,0.2,6,0.7848333333333334,0.7468206556105906,0.7481616392134635,0.7848333333333334,2025-09-15T10:55:21.582729
uci,5,1,0.2,7,0.7845,0.7322918874229739,0.7437468099009148,0.7845,2025-09-15T10:55:21.628716
uci,5,1,0.2,8,0.785,0.7466489489627787,0.7482980400825487,0.785,2025-09-15T10:55:21.675681
uci,5,1,0.3,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T10:55:21.713891
uci,5,1,0.3,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-09-15T10:55:21.752756
uci,5,1,0.3,6,0.7848333333333334,0.7468206556105906,0.7481616392134635,0.7848333333333334,2025-09-15T10:55:21.791432
uci,5,1,0.3,7,0.7845,0.7322918874229739,0.7437468099009148,0.7845,2025-09-15T10:55:21.832496
uci,5,1,0.3,8,0.785,0.7466489489627787,0.7482980400825487,0.785,2025-09-15T10:55:21.876995
uci,5,1,0.4,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T10:55:21.912699
uci,5,1,0.4,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-09-15T10:55:21.951086
uci,5,1,0.4,6,0.7848333333333334,0.7468206556105906,0.7481616392134635,0.7848333333333334,2025-09-15T10:55:21.990226
uci,5,1,0.4,7,0.7845,0.7322918874229739,0.7437468099009148,0.7845,2025-09-15T10:55:22.031046
uci,5,1,0.4,8,0.785,0.7466489489627787,0.7482980400825487,0.785,2025-09-15T10:55:22.076231
uci,5,1,0.5,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T10:55:22.113107
uci,5,1,0.5,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-09-15T10:55:22.150824
uci,5,1,0.5,6,0.7848333333333334,0.7468206556105906,0.7481616392134635,0.7848333333333334,2025-09-15T10:55:22.190983
uci,5,1,0.5,7,0.7845,0.7322918874229739,0.7437468099009148,0.7845,2025-09-15T10:55:22.234713
uci,5,1,0.5,8,0.785,0.7466489489627787,0.7482980400825487,0.785,2025-09-15T10:55:22.281212
uci,5,1,0.6,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T10:55:22.317725
uci,5,1,0.6,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-09-15T10:55:22.356080
uci,5,1,0.6,6,0.7848333333333334,0.7468206556105906,0.7481616392134635,0.7848333333333334,2025-09-15T10:55:22.395695
uci,5,1,0.6,7,0.7845,0.7322918874229739,0.7437468099009148,0.7845,2025-09-15T10:55:22.443127
uci,5,1,0.6,8,0.785,0.7466489489627787,0.7482980400825487,0.785,2025-09-15T10:55:22.486720
uci,5,1,0.7,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T10:55:22.523845
uci,5,1,0.7,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-09-15T10:55:22.561892
